FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
500;0;-0,0389993;0;4;18,9272003;5;1,0309401;272,0119934;0,0238202;0,0628195;2;22;1165,215704259999939;828047,0000000;1723190,0000000;0;9,2014399
501;0;-0,2582060;30;1;192,7250061;2;1,1528400;68,4154968;0,1958450;0,4540510;3;23;84,997908727999999;780409,0000000;1732020,0000000;0;6,4082799
502;0;0,0151240;30;2;72,6800995;4;3,9313300;174,9579926;0,0154620;0,0003380;3;22;712,120763187999955;839902,0000000;1728460,0000000;0;6,1840501
503;0;1,6644000;99;3;741,3569946;3;15,5615997;191,3580017;0,9204590;-0,7439420;3;41;676,794348990000003;769585,0000000;1767480,0000000;0;4,8162098
504;0;0,0163583;99;6;10,4230003;5;0,2692760;291,7399902;0,0140775;-0,0022808;9;47;136,623872293999995;850152,0000000;1770830,0000000;0;10,6302996
505;0;-0,7653470;99;1;816,1710205;3;35,5153008;227,0599976;-0,2967270;0,4686200;3;29;1114,891982099999950;768399,0000000;1758390,0000000;0;4,5365300
506;0;0,0557024;99;2;10,0768003;5;0,5716220;3,2712300;0,0052013;-0,0505011;9;47;377,521206811000013;849547,0000000;1770870,0000000;0;10,0031004
507;0;-0,5078040;99;2;112,8889999;3;9,0710297;193,6959991;-0,3799140;0,1278900;3;44;881,740360731999999;829940,0000000;1761170,0000000;0;6,9898200
508;0;-0,0000000;99;2;380,2130127;3;0,2441660;45,0000000;0,0000000;0,0000000;4;38;7,010632396170000;800221,0000000;1705500,0000000;0;8,7999401
509;0;0,0982052;99;5;13,3563995;5;0,6213440;131,9120026;0,0281403;-0,0700649;3;51;23,532341894500000;872766,0000000;1723600,0000000;0;9,9016600
510;0;-0,7555750;99;2;648,9000244;2;32,6237984;62,2621002;-0,2575660;0,4980090;3;30;46,279345989799999;761311,0000000;1726130,0000000;0;6,6993899
511;0;0,2548890;99;1;125,5490036;3;11,0335999;210,1410065;0,2537040;-0,0011846;3;44;975,987168592999979;831721,0000000;1762070,0000000;0;5,2057500
512;0;-0,9175960;99;3;691,1640015;3;27,8505001;329,0280151;-0,6603360;0,2572600;3;42;1066,702719959999968;783591,0000000;1760740,0000000;0;5,1429901
513;0;-0,2722170;99;3;1162,8199463;3;34,4740982;348,8580017;-0,0865425;0,1856740;1;26;448,022074024000005;815439,0000000;1670700,0000000;0;4,5848298
514;0;0,0674472;99;1;514,4849854;2;12,6611996;211,7940063;0,0049597;-0,0624876;3;21;611,341901665000023;797322,0000000;1748180,0000000;0;6,1191702
515;0;-0,0783183;90;1;341,7760010;3;1,0450300;123,8669968;0,0075086;0,0858269;4;40;120,852542580000005;796656,0000000;1707590,0000000;0;9,8408499
516;0;-0,2502030;99;2;317,6740112;3;8,6228905;221,9730072;0,1828450;0,4330490;3;7;1,056192196490000;835716,0000000;1676480,0000000;0;5,6900702
517;0;-0,6708920;99;3;133,3079987;2;28,2240009;346,6390076;-0,7618970;-0,0910045;3;13;586,008425605999946;819976,0000000;1784010,0000000;0;5,3231902
518;0;-0,0000000;99;2;18,1147995;5;0,0000000;-1,0000000;0,0000000;0,0000000;4;44;819,086808008000048;809466,0000000;1750410,0000000;0;12,7742004
519;0;1,1986001;99;1;480,5199890;3;39,5233002;24,7635002;0,3416360;-0,8569620;3;13;1364,800844159999997;826441,0000000;1783210,0000000;0;4,2711000
520;0;-2,5108399;60;2;624,7130127;3;26,8938999;60,6265984;-0,2191600;2,2916801;4;29;214,968713062999996;765973,0000000;1762550,0000000;0;5,0220699
521;0;-1,4526300;99;1;212,9270020;2;38,4112015;168,6880035;-0,8812680;0,5713650;3;23;706,826401160000046;793435,0000000;1736250,0000000;0;4,9067602
522;0;-0,5580310;99;1;289,0950012;2;25,0464001;189,1309967;-0,2701810;0,2878500;3;23;1090,649947619999921;806113,0000000;1748250,0000000;0;4,8112602
523;0;-0,0132849;99;5;13,2396002;5;3,7178600;87,6854019;0,0295615;0,0428464;3;48;863,770127689999981;833192,0000000;1784620,0000000;0;7,1352801
524;0;0,2631020;99;3;450,7000122;3;23,2693996;54,2584000;0,2321260;-0,0309766;3;7;957,941745896000043;832027,0000000;1683460,0000000;0;4,8679299
525;0;0,5348040;60;2;161,9170074;3;22,6756992;157,4029999;-0,0611647;-0,5959680;3;44;1181,184478639999952;831067,0000000;1761940,0000000;0;5,7261300
526;0;-0,1640420;30;4;643,5150146;2;2,0936601;302,9739990;-0,0968405;0,0672016;4;29;101,408453097000006;765481,0000000;1756190,0000000;0;7,4600701
527;0;-0,0433655;99;2;303,4920044;3;10,1443996;331,5180054;0,3821750;0,4255410;3;4;361,543427887999997;804247,0000000;1767700,0000000;0;8,2113895
528;0;2,4265299;99;1;711,3049927;2;35,5061989;322,2829895;0,1687330;-2,2577901;3;41;76,631696155300006;768436,0000000;1771230,0000000;0;4,3850298
529;0;0,1540350;99;2;34,4584007;3;3,6572800;18,8852997;0,0509017;-0,1031330;3;22;165,544716775000012;827002,0000000;1721350,0000000;0;8,5565596
530;0;-0,0984158;90;3;1102,3100586;3;22,4335995;252,7850037;-0,0041111;0,0943047;1;26;474,514402673000006;815498,0000000;1671120,0000000;0;5,4627600
531;0;0,1611340;99;3;120,4169998;4;0,4961670;358,8930054;0,1452570;-0,0158770;3;23;830,441073710999945;787002,0000000;1731780,0000000;0;10,6040001
